Year,Name,Team,CMP,ATT,YD,TD,INT,Y/C,Y/G,FP
2021,Tom Brady,TAM,485,719.0,5316,43,12,312.7,102.1,360.64
2021,Justin Herbert,LAC,443,672.0,5014,38,15,294.9,97.7,322.56
2021,Matthew Stafford,LAR,404,601.0,4886,41,17,287.4,102.9,325.44
2021,Patrick Mahomes,KAN,436,658.0,4839,37,13,284.6,98.5,315.56
2021,Derek Carr,LVR,428,626.0,4804,23,14,282.6,94.0,256.15999999999997
2021,Joe Burrow,CIN,366,520.0,4611,34,14,288.2,108.3,292.44
2021,Dak Prescott,DAL,410,596.0,4449,37,10,278.1,104.2,305.96000000000004
2021,Josh Allen,BUF,409,646.0,4407,36,15,259.2,92.2,290.28
2021,Kirk Cousins,MIN,372,561.0,4221,33,7,263.8,103.1,286.84000000000003
2021,Aaron Rodgers,GNB,366,531.0,4115,37,4,257.2,111.9,304.6
2021,Matt Ryan,ATL,375,560.0,3968,20,12,233.4,90.4,214.72
2021,Jimmy Garoppolo,SFO,301,441.0,3810,20,12,254.0,98.7,208.4
2021,Mac Jones,NWE,352,521.0,3801,22,13,223.6,92.5,214.04
2021,Kyler Murray,ARI,333,481.0,3787,24,10,270.5,100.6,227.48
2021,Ben Roethlisberger,PIT,390,605.0,3740,22,10,233.8,86.8,217.6
2021,Ryan Tannehill,TEN,357,531.0,3734,21,14,219.6,89.6,205.36
2021,Trevor Lawrence,JAX,359,602.0,3641,12,17,214.2,71.9,159.64
2021,Carson Wentz,IND,322,516.0,3563,27,7,209.6,94.6,236.52
2021,Taylor Heinicke,WAS,321,494.0,3419,20,15,213.7,85.9,186.76
2021,Jared Goff,DET,332,494.0,3245,19,8,231.8,91.5,189.8
2021,Jalen Hurts,PHI,265,432.0,3144,16,9,209.6,87.2,171.76
2021,Russell Wilson,SEA,259,400.0,3113,25,6,222.4,103.1,212.51999999999998
2021,Teddy Bridgewater,DEN,285,426.0,3052,18,7,218.0,94.9,180.07999999999998
2021,Baker Mayfield,CLE,253,418.0,3010,17,13,215.0,83.1,162.4
2021,Lamar Jackson,BAL,246,382.0,2882,16,13,240.2,87.0,153.28
2021,Davis Mills,HOU,263,394.0,2664,16,10,204.9,88.8,150.56
2021,Tua Tagovailoa,MIA,263,388.0,2653,16,10,204.1,90.1,150.12
2021,Sam Darnold,CAR,243,406.0,2527,9,13,210.6,71.9,111.07999999999998
2021,Daniel Jones,NYG,232,361.0,2428,10,7,220.7,84.8,123.12
2021,Zach Wilson,NYJ,213,383.0,2334,9,11,179.5,69.7,107.36000000000001
2021,Justin Fields,CHI,159,270.0,1870,7,10,155.8,73.2,82.8
2021,Andy Dalton,CHI,149,236.0,1515,8,9,189.4,76.9,74.6
2021,Jacoby Brissett,MIA,141,225.0,1283,5,4,116.6,78.1,63.31999999999999
2021,Jameis Winston,NOR,95,161.0,1170,14,3,167.1,102.8,96.8
2021,Trevor Siemian,NOR,108,188.0,1154,11,3,192.3,88.4,84.16
2021,Tyler Huntley,BAL,122,188.0,1081,3,4,154.4,76.6,47.24
2021,Tyrod Taylor,HOU,91,150.0,966,5,5,161.0,76.7,48.64
2021,Mike White,NYJ,88,132.0,953,5,8,238.3,75.1,42.12
2021,Mike Glennon,NYG,90,167.0,790,4,10,131.7,49.7,27.6
2021,Drew Lock,DEN,67,111.0,787,2,2,131.2,80.4,35.480000000000004
2021,Colt McCoy,ARI,74,99.0,740,3,1,92.5,101.4,39.6
2021,Geno Smith,SEA,65,95.0,702,5,1,175.5,103.0,46.08
2021,Cam Newton,CAR,69,126.0,684,4,5,85.5,64.4,33.36
2021,Josh Johnson,2TM,57,85.0,638,5,2,159.5,99.0,41.519999999999996
2021,Josh Johnson,NYJ,29,45.0,334,3,1,111.3,99.7,23.36
2021,Josh Johnson,BAL,28,40.0,304,2,1,304.0,98.3,18.16
2021,Trey Lance,SFO,41,71.0,603,5,2,100.5,97.3,40.120000000000005
2021,Tim Boyle,DET,61,94.0,526,3,6,105.2,63.5,21.04
2021,Case Keenum,CLE,47,72.0,462,3,1,66.0,91.3,28.48
2021,Gardner Minshew II,PHI,41,60.0,439,4,1,109.8,104.8,31.560000000000002
2021,Cooper Rush,DAL,30,47.0,422,3,1,84.4,105.1,26.88
2021,Jordan Love,GNB,36,62.0,411,2,3,68.5,68.7,18.44
2021,P.J. Walker,CAR,36,66.0,362,1,3,72.4,56.5,12.48
2021,Joe Flacco,NYJ,27,42.0,338,3,0,169.0,113.0,25.52
2021,Mason Rudolph,PIT,35,58.0,277,1,1,138.5,70.8,13.08
2021,Nick Foles,CHI,24,35.0,250,1,0,250.0,98.5,14.0
2021,Brian Hoyer,NWE,9,11.0,227,1,0,45.4,149.1,13.08
2021,Jake Fromm,NYG,27,60.0,210,1,3,70.0,38.9,6.4
2021,Garrett Gilbert,WAS,20,31.0,194,0,0,194.0,81.9,7.76
2021,Sean Mannion,MIN,22,36.0,189,1,0,189.0,84.1,11.559999999999999
2021,Brandon Allen,CIN,17,34.0,149,2,0,24.8,81.6,13.96
2021,Nick Mullens,CLE,20,30.0,147,1,0,147.0,89.2,9.879999999999999
2021,Ian Book,NOR,12,20.0,135,0,2,135.0,40.6,1.4000000000000004
2021,Kyle Allen,WAS,12,19.0,120,1,0,60.0,98.6,8.8
2021,Chad Henne,KAN,11,16.0,82,0,0,20.5,80.7,3.28
2021,Blaine Gabbert,TAM,7,11.0,67,0,0,11.2,80.5,2.68
2021,Mitchell Trubisky,BUF,6,8.0,43,0,1,7.2,47.4,-0.28
2021,Chris Streveler,ARI,6,9.0,36,0,0,18.0,74.3,1.44
2021,C.J. Beathard,JAX,2,2.0,33,0,0,16.5,118.7,1.32
2021,Jacob Eason,IND,2,5.0,25,0,1,25.0,16.7,-1.0
2021,Josh Rosen,ATL,2,11.0,19,0,2,4.8,0.0,-3.24
2021,Ryan Fitzpatrick,WAS,3,6.0,13,0,0,13.0,56.2,0.52
2021,Kellen Mond,MIN,2,3.0,5,0,0,5.0,70.1,0.2
2021,John Wolford,LAR,1,4.0,5,0,1,1.7,0.0,-1.8
2021,Marcus Mariota,LVR,1,2.0,4,0,0,0.4,56.2,0.16
2021,David Blough,DET,0,0.0,0,0,0,0.0,0.0,0.0
2021,Feleipe Franks,ATL,0,1.0,0,0,1,0.0,0.0,-2.0
2021,Brett Rypien,DEN,0,2.0,0,0,0,0.0,39.6,0.0
